,county,date,month,2.9%tax,year,total_revenue
0,Adams,6-01-2015,6,17209,2015,593413.793103
1,Arapahoe,6-01-2015,6,65918,2015,2273034.48276
2,Boulder,6-01-2015,6,73454,2015,2532896.55172
3,Clear Creek,6-01-2015,6,1251,2015,43137.9310345
4,Denver,6-01-2015,6,453698,2015,15644758.6207
5,Eagle,6-01-2015,6,6948,2015,239586.206897
6,El Paso,6-01-2015,6,197835,2015,6821896.55172
7,Fremont,6-01-2015,6,5773,2015,199068.965517
8,Garfield,6-01-2015,6,10985,2015,378793.103448
9,Jefferson,6-01-2015,6,47617,2015,1641965.51724
10,La Plata,6-01-2015,6,16528,2015,569931.034483
11,Larimer,6-01-2015,6,32508,2015,1120965.51724
12,Montezuma,6-01-2015,6,2580,2015,88965.5172414
13,Pitkin,6-01-2015,6,3074,2015,106000.0
14,Pueblo,6-01-2015,6,13504,2015,465655.172414
15,Routt,6-01-2015,6,4484,2015,154620.689655
16,San Miguel,6-01-2015,6,1725,2015,59482.7586207
17,Summit,6-01-2015,6,5646,2015,194689.655172
18,Weld,6-01-2015,6,8071,2015,278310.344828
19,Other Counties,6-01-2015,6,19300,2015,665517.241379
20,Adams,1-01-2014,1,18254,2014,629448.275862
21,Arapahoe,1-01-2014,1,25951,2014,894862.068966
22,Boulder,1-01-2014,1,97913,2014,3376310.34483
23,Chaffee,1-01-2014,1,2338,2014,80620.6896552
24,Clear Creek,1-01-2014,1,3952,2014,136275.862069
25,Denver,1-01-2014,1,442941,2014,15273827.5862
26,Eagle,1-01-2014,1,4141,2014,142793.103448
27,El Paso,1-01-2014,1,141447,2014,4877482.75862
28,Fremont,1-01-2014,1,4726,2014,162965.517241
29,Garfield,1-01-2014,1,16674,2014,574965.517241
30,Gilpin,1-01-2014,1,1269,2014,43758.6206897
31,Gunnison,1-01-2014,1,1992,2014,68689.6551724
32,Jefferson,1-01-2014,1,54443,2014,1877344.82759
33,La Plata,1-01-2014,1,13422,2014,462827.586207
34,Larimer,1-01-2014,1,21404,2014,738068.965517
35,Montezuma,1-01-2014,1,4266,2014,147103.448276
36,Pitkin,1-01-2014,1,6999,2014,241344.827586
37,Pueblo,1-01-2014,1,6249,2014,215482.758621
38,Routt,1-01-2014,1,4171,2014,143827.586207
39,San Miguel,1-01-2014,1,2319,2014,79965.5172414
40,Summit,1-01-2014,1,7681,2014,264862.068966
41,Weld,1-01-2014,1,20901,2014,720724.137931
42,Other Counties,1-01-2014,1,10067,2014,347137.931034
43,Adams,1-01-2015,1,8304,2015,286344.827586
44,Arapahoe,1-01-2015,1,25572,2015,881793.103448
45,Boulder,1-01-2015,1,64260,2015,2215862.06897
46,Clear Creek,1-01-2015,1,2117,2015,73000.0
47,Denver,1-01-2015,1,363061,2015,12519344.8276
48,Eagle,1-01-2015,1,9390,2015,323793.103448
49,El Paso,1-01-2015,1,142988,2015,4930620.68966
50,Fremont,1-01-2015,1,6779,2015,233758.62069
51,Garfield,1-01-2015,1,9421,2015,324862.068966
52,Gilpin,1-01-2015,1,1065,2015,36724.137931
53,Gunnison,1-01-2015,1,587,2015,20241.3793103
54,Jefferson,1-01-2015,1,45470,2015,1567931.03448
55,La Plata,1-01-2015,1,25691,2015,885896.551724
56,Larimer,1-01-2015,1,33160,2015,1143448.27586
57,Montezuma,1-01-2015,1,3296,2015,113655.172414
58,Pitkin,1-01-2015,1,2245,2015,77413.7931034
59,Pueblo,1-01-2015,1,3328,2015,114758.62069
60,Route,1-01-2015,1,5104,2015,176000.0
61,San Miguel,1-01-2015,1,1529,2015,52724.137931
62,Summit,1-01-2015,1,6351,2015,219000.0
63,Weld,1-01-2015,1,10194,2015,351517.241379
64,Other Counties,1-01-2015,1,15878,2015,547517.241379
65,Adams,1-01-2016,1,10424,2016,359448.275862
66,Arapahoe,1-01-2016,1,41280,2016,1423448.27586
67,Boulder,1-01-2016,1,77845,2016,2684310.34483
68,Clear Creek,1-01-2016,1,2663,2016,91827.5862069
69,Denver,1-01-2016,1,403927,2016,13928517.2414
70,Eagle,1-01-2016,1,8443,2016,291137.931034
71,El Paso,1-01-2016,1,175444,2016,6049793.10345
72,Fremont,1-01-2016,1,3448,2016,118896.551724
73,Garfield,1-01-2016,1,10145,2016,349827.586207
74,Jefferson,1-01-2016,1,53493,2016,1844586.2069
75,La Plata,1-01-2016,1,10221,2016,352448.275862
76,Larimer,1-01-2016,1,34586,2016,1192620.68966
77,Montezuma,1-01-2016,1,2225,2016,76724.137931
78,Pitkin,1-01-2016,1,5244,2016,180827.586207
79,Pueblo,1-01-2016,1,18984,2016,654620.689655
80,Routt,1-01-2016,1,5702,2016,196620.689655
81,Summit,1-01-2016,1,5433,2016,187344.827586
82,Weld,1-01-2016,1,11465,2016,395344.827586
83,Other Counties,1-01-2016,1,17002,2016,586275.862069
84,Adams,2-01-2014,2,14491,2014,499689.655172
85,Arapahoe,2-01-2014,2,30854,2014,1063931.03448
86,Boulder,2-01-2014,2,104687,2014,3609896.55172
87,Clear Creek,2-01-2014,2,2845,2014,98103.4482759
88,Denver,2-01-2014,2,483432,2014,16670068.9655
89,Eagle,2-01-2014,2,8289,2014,285827.586207
90,El Paso,2-01-2014,2,177929,2014,6135482.75862
91,Fremont,2-01-2014,2,5063,2014,174586.206897
92,Garfield,2-01-2014,2,10626,2014,366413.793103
93,Gilpin,2-01-2014,2,918,2014,31655.1724138
94,Jefferson,2-01-2014,2,55944,2014,1929103.44828
95,La Plata,2-01-2014,2,13041,2014,449689.655172
96,Larimer,2-01-2014,2,33897,2014,1168862.06897
97,Montezuma,2-01-2014,2,2651,2014,91413.7931034
98,Pitkin,2-01-2014,2,2398,2014,82689.6551724
99,Pueblo,2-01-2014,2,14683,2014,506310.344828
100,Routt,2-01-2014,2,9018,2014,310965.517241
101,San Miguel,2-01-2014,2,5016,2014,172965.517241
102,Summit,2-01-2014,2,9343,2014,322172.413793
103,Weld,2-01-2014,2,20383,2014,702862.068966
104,Other Counties,2-01-2014,2,16668,2014,574758.62069
105,Adams,2-01-2015,2,15962,2015,550413.793103
106,Arapahoe,2-01-2015,2,25790,2015,889310.344828
