,date,city,special_tax,month,year,total_revenue
0,1-01-2014,Breckenridge,11410,1,2014,760666.666667
1,1-01-2014,Denver,128586,1,2014,8572400.0
2,1-01-2014,Telluride,6218,1,2014,414533.333333
3,1-01-2014,Other Cities,64055,1,2014,4270333.33333
4,1-01-2015,Aspen,11941,1,2015,796066.666667
5,1-01-2015,Aurora,22966,1,2015,1531066.66667
6,1-01-2015,Boulder,38329,1,2015,2555266.66667
7,1-01-2015,Breckenridge,13984,1,2015,932266.666667
8,1-01-2015,Crested Butte,4096,1,2015,273066.666667
9,1-01-2015,Denver,219110,1,2015,14607333.3333
10,1-01-2015,Durango,11690,1,2015,779333.333333
11,1-01-2015,Edgewater,12298,1,2015,819866.666667
12,1-01-2015,Fort Collins,1942,1,2015,129466.666667
13,1-01-2015,Garden City,17991,1,2015,1199400.0
14,1-01-2015,Glenwood Springs,5157,1,2015,343800.0
15,1-01-2015,Idaho Springs,3911,1,2015,260733.333333
16,1-01-2015,Pueblo County,15892,1,2015,1059466.66667
17,1-01-2015,Telluride,5649,1,2015,376600.0
18,1-01-2015,Trinidad,3362,1,2015,224133.333333
19,1-01-2015,Wheat Ridge,10357,1,2015,690466.666667
20,1-01-2015,Other Cities,125795,1,2015,8386333.33333
21,1-01-2016,Aspen,10791,1,2016,719400.0
22,1-01-2016,Aurora,68542,1,2016,4569466.66667
23,1-01-2016,Boulder,42169,1,2016,2811266.66667
24,1-01-2016,Boulder County,14276,1,2016,951733.333333
25,1-01-2016,Breckenridge,10492,1,2016,699466.666667
26,1-01-2016,Carbondale,1570,1,2016,104666.666667
27,1-01-2016,Central City,1056,1,2016,70400.0
28,1-01-2016,Cortez,6993,1,2016,466200.0
29,1-01-2016,Crested Butte,4038,1,2016,269200.0
30,1-01-2016,Denver,273924,1,2016,18261600.0
31,1-01-2016,Durango,16859,1,2016,1123933.33333
32,1-01-2016,Eagle County,16475,1,2016,1098333.33333
33,1-01-2016,Edgewater,18908,1,2016,1260533.33333
34,1-01-2016,Fort Collins,29497,1,2016,1966466.66667
35,1-01-2016,Garden City,26903,1,2016,1793533.33333
36,1-01-2016,Glendale,15414,1,2016,1027600.0
37,1-01-2016,Glenwood Springs,4233,1,2016,282200.0
38,1-01-2016,Gunnison,2515,1,2016,167666.666667
39,1-01-2016,Idaho Springs,5108,1,2016,340533.333333
40,1-01-2016,Northglenn,6646,1,2016,443066.666667
41,1-01-2016,Salida,5113,1,2016,340866.666667
42,1-01-2016,Pueblo County,24521,1,2016,1634733.33333
43,1-01-2016,Steamboat Springs,11446,1,2016,763066.666667
44,1-01-2016,Telluride,4148,1,2016,276533.333333
45,1-01-2016,Trinidad,13289,1,2016,885933.333333
46,1-01-2016,Wheat Ridge,9396,1,2016,626400.0
47,1-01-2016,Other Cities,134494,1,2016,8966266.66667
48,2-01-2014,Breckenridge,9547,2,2014,636466.666667
49,2-01-2014,Denver,125458,2,2014,8363866.66667
50,2-01-2014,Idaho Springs,4223,2,2014,281533.333333
51,2-01-2014,Pueblo County,12347,2,2014,823133.333333
52,2-01-2014,Telluride,2323,2,2014,154866.666667
53,2-01-2014,Other Cities,58776,2,2014,3918400.0
54,2-01-2015,Aspen,8858,2,2015,590533.333333
55,2-01-2015,Aurora,32843,2,2015,2189533.33333
56,2-01-2015,Boulder,33778,2,2015,2251866.66667
57,2-01-2015,Breckenridge,10597,2,2015,706466.666667
58,2-01-2015,Crested Butte,3366,2,2015,224400.0
59,2-01-2015,Denver,238902,2,2015,15926800.0
60,2-01-2015,Durango,12126,2,2015,808400.0
61,2-01-2015,Edgewater,21297,2,2015,1419800.0
62,2-01-2015,Fort Collins,11436,2,2015,762400.0
63,2-01-2015,Garden City,19060,2,2015,1270666.66667
64,2-01-2015,Glenwood Springs,4224,2,2015,281600.0
65,2-01-2015,Idaho Springs,3691,2,2015,246066.666667
66,2-01-2015,Pueblo County,12189,2,2015,812600.0
67,2-01-2015,Telluride,2887,2,2015,192466.666667
68,2-01-2015,Trinidad,4307,2,2015,287133.333333
69,2-01-2015,Wheat Ridge,9596,2,2015,639733.333333
70,2-01-2015,Other Cities,143933,2,2015,9595533.33333
71,2-01-2016,Antonito,2462,2,2016,164133.333333
72,2-01-2016,Aspen,13101,2,2016,873400.0
73,2-01-2016,Aurora,94363,2,2016,6290866.66667
74,2-01-2016,Boulder,39599,2,2016,2639933.33333
75,2-01-2016,Boulder County,12255,2,2016,817000.0
76,2-01-2016,Breckenridge,20578,2,2016,1371866.66667
77,2-01-2016,Carbondale,1281,2,2016,85400.0
78,2-01-2016,Central City,2325,2,2016,155000.0
79,2-01-2016,Cortez,7719,2,2016,514600.0
80,2-01-2016,Crested Butte,1635,2,2016,109000.0
81,2-01-2016,Denver,306532,2,2016,20435466.6667
82,2-01-2016,Durango,28465,2,2016,1897666.66667
83,2-01-2016,Eagle County,15851,2,2016,1056733.33333
84,2-01-2016,Edgewater,34317,2,2016,2287800.0
85,2-01-2016,Fort Collins,25034,2,2016,1668933.33333
86,2-01-2016,Garden City,28002,2,2016,1866800.0
87,2-01-2016,Glendale,18460,2,2016,1230666.66667
88,2-01-2016,Glenwood Springs,3961,2,2016,264066.666667
89,2-01-2016,Gunnison,1923,2,2016,128200.0
90,2-01-2016,Idaho Springs,4995,2,2016,333000.0
91,2-01-2016,Nederland,1333,2,2016,88866.6666667
92,2-01-2016,Northglenn,47137,2,2016,3142466.66667
93,2-01-2016,Salida,4228,2,2016,281866.666667
94,2-01-2016,Pueblo County,25143,2,2016,1676200.0
95,2-01-2016,Steamboat Springs,11146,2,2016,743066.666667
96,2-01-2016,Telluride,6734,2,2016,448933.333333
97,2-01-2016,Trinidad,16240,2,2016,1082666.66667
98,2-01-2016,Wheat Ridge,12640,2,2016,842666.666667
99,2-01-2016,Other Cities,145265,2,2016,9684333.33333
100,3-01-2014,Boulder,17039,3,2014,1135933.33333
101,3-01-2014,Breckenridge,6705,3,2014,447000.0
102,3-01-2014,Denver,152090,3,2014,10139333.3333
103,3-01-2014,Edgewater,9051,3,2014,603400.0
104,3-01-2014,Idaho Springs,4464,3,2014,297600.0
105,3-01-2014,Pueblo County,17940,3,2014,1196000.0
106,3-01-2014,Telluride,4794,3,2014,319600.0
107,3-01-2014,Other Cities,73130,3,2014,4875333.33333
108,3-01-2015,Aspen,1061,3,2015,70733.3333333
109,3-01-2015,Aurora,34615,3,2015,2307666.66667
110,3-01-2015,Boulder,38892,3,2015,2592800.0
111,3-01-2015,Breckenridge,13117,3,2015,874466.666667
112,3-01-2015,Cortez,3080,3,2015,205333.333333
113,3-01-2015,Crested Butte,3948,3,2015,263200.0
114,3-01-2015,Denver,249081,3,2015,16605400.0
115,3-01-2015,Durango,15308,3,2015,1020533.33333
116,3-01-2015,Eagle County,13961,3,2015,930733.333333
117,3-01-2015,Edgewater,18183,3,2015,1212200.0
118,3-01-2015,Fort Collins,17707,3,2015,1180466.66667
119,3-01-2015,Garden City,21652,3,2015,1443466.66667
120,3-01-2015,Glenwood Springs,5117,3,2015,341133.333333
121,3-01-2015,Idaho Springs,4285,3,2015,285666.666667
122,3-01-2015,Northglenn,19889,3,2015,1325933.33333
123,3-01-2015,Pueblo County,23862,3,2015,1590800.0
124,3-01-2015,Telluride,6932,3,2015,462133.333333
125,3-01-2015,Trinidad,6225,3,2015,415000.0
126,3-01-2015,Wheat Ridge,10010,3,2015,667333.333333
127,3-01-2015,Other Cities,123967,3,2015,8264466.66667
128,6-01-2016,Adams County,22335,6,2016,1489000.0
129,6-01-2016,Antonito,4986,6,2016,332400.0
130,6-01-2016,Aspen,23496,6,2016,1566400.0
131,6-01-2016,Aurora,115039,6,2016,7669266.66667
132,6-01-2016,Boulder,44960,6,2016,2997333.33333
133,6-01-2016,Boulder County,11613,6,2016,774200.0
134,6-01-2016,Breckenridge,7731,6,2016,515400.0
135,6-01-2016,Carbondale,3002,6,2016,200133.333333
136,6-01-2016,Central City,2712,6,2016,180800.0
137,6-01-2016,Cortez,11328,6,2016,755200.0
138,6-01-2016,Crested Butte,3907,6,2016,260466.666667
139,6-01-2016,Denver,352520,6,2016,23501333.3333
140,6-01-2016,Dillon,3839,6,2016,255933.333333
141,6-01-2016,Durango,29814,6,2016,1987600.0
142,6-01-2016,Eagle County,10696,6,2016,713066.666667
143,6-01-2016,Edgewater,43523,6,2016,2901533.33333
144,6-01-2016,Fort Collins,41396,6,2016,2759733.33333
145,6-01-2016,Garden City,30372,6,2016,2024800.0
146,6-01-2016,Glendale,24680,6,2016,1645333.33333
147,6-01-2016,Glenwood Springs,14237,6,2016,949133.333333
148,6-01-2016,Gunnison,5476,6,2016,365066.666667
149,6-01-2016,Idaho Springs,5852,6,2016,390133.333333
150,6-01-2016,Leadville,3099,6,2016,206600.0
151,6-01-2016,Log Lane Village,8239,6,2016,549266.666667
152,6-01-2016,Nederland,2215,6,2016,147666.666667
153,6-01-2016,Northglenn,44779,6,2016,2985266.66667
154,6-01-2016,Parachute,9254,6,2016,616933.333333
155,6-01-2016,Park County,3579,6,2016,238600.0
156,6-01-2016,Pueblo County,37677,6,2016,2511800.0
157,6-01-2016,Salida,6903,6,2016,460200.0
158,6-01-2016,Telluride,3721,6,2016,248066.666667
159,6-01-2016,Trinidad,24342,6,2016,1622800.0
160,6-01-2016,Wheat Ridge,11339,6,2016,755933.333333
161,6-01-2016,Other Cities,144983,6,2016,9665533.33333
162,7-01-2014,Boulder,37289,7,2014,2485933.33333
163,7-01-2014,Breckenridge,8143,7,2014,542866.666667
164,7-01-2014,Denver,210073,7,2014,14004866.6667
165,7-01-2014,Edgewater,13867,7,2014,924466.666667
166,7-01-2014,Garden City,17524,7,2014,1168266.66667
167,7-01-2014,Idaho Springs,4535,7,2014,302333.333333
168,7-01-2014,Pueblo County,30183,7,2014,2012200.0
169,7-01-2014,Telluride,8223,7,2014,548200.0
170,7-01-2014,Wheat Ridge,8403,7,2014,560200.0
171,7-01-2014,Other Cities,105258,7,2014,7017200.0
172,7-01-2015,Aspen,10060,7,2015,670666.666667
173,7-01-2015,Aurora,61838,7,2015,4122533.33333
174,7-01-2015,Boulder,46330,7,2015,3088666.66667
175,7-01-2015,Boulder County,10818,7,2015,721200.0
176,7-01-2015,Breckenridge,8675,7,2015,578333.333333
177,7-01-2015,Carbondale,1700,7,2015,113333.333333
178,7-01-2015,Central City,2245,7,2015,149666.666667
179,7-01-2015,Cortez,7162,7,2015,477466.666667
180,7-01-2015,Crested Butte,6905,7,2015,460333.333333
181,7-01-2015,Denver,292653,7,2015,19510200.0
182,7-01-2015,Durango,18416,7,2015,1227733.33333
183,7-01-2015,Eagle County,9646,7,2015,643066.666667
184,7-01-2015,Edgewater,22326,7,2015,1488400.0
