,county,date,month,2.9%tax,year,total_revenue
0,Arapahoe,6-01-2015,6,140304,2015,4838068.96552
1,Boulder,6-01-2015,6,128318,2015,4424758.62069
2,Clear Creek,6-01-2015,6,12586,2015,434000.0
3,Denver,6-01-2015,6,489176,2015,16868137.931
4,Eagle,6-01-2015,6,15169,2015,523068.965517
5,Garfield,6-01-2015,6,21748,2015,749931.034483
6,Gilpin,6-01-2015,6,3414,2015,117724.137931
7,Grand,6-01-2015,6,4450,2015,153448.275862
8,Gunnison,6-01-2015,6,8620,2015,297241.37931
9,Jefferson,6-01-2015,6,92913,2015,3203896.55172
10,La Plata,6-01-2015,6,50681,2015,1747620.68966
11,Larimer,6-01-2015,6,66800,2015,2303448.27586
12,Las Animas,6-01-2015,6,19771,2015,681758.62069
13,Montezuma,6-01-2015,6,14267,2015,491965.517241
14,Park,6-01-2015,6,5447,2015,187827.586207
15,Pitkin,6-01-2015,6,15148,2015,522344.827586
16,Pueblo,6-01-2015,6,35667,2015,1229896.55172
17,Routt,6-01-2015,6,14168,2015,488551.724138
18,San Miguel,6-01-2015,6,10248,2015,353379.310345
19,Summit,6-01-2015,6,26535,2015,915000.0
20,Weld,6-01-2015,6,48347,2015,1667137.93103
21,Other Counties,6-01-2015,6,183025,2015,6311206.89655
22,Clear Creek,1-01-2014,1,12770,2014,440344.827586
23,Denver,1-01-2014,1,256756,2014,8853655.17241
24,Gilpin,1-01-2014,1,5380,2014,185517.241379
25,Jefferson,1-01-2014,1,24416,2014,841931.034483
26,San Miguel,1-01-2014,1,12121,2014,417965.517241
27,Summit,1-01-2014,1,37274,2014,1285310.34483
28,Other Counties,1-01-2014,1,67972,2014,2343862.06897
29,Adams,1-01-2015,1,13092,2015,451448.275862
30,Arapahoe,1-01-2015,1,53858,2015,1857172.41379
31,Boulder,1-01-2015,1,109224,2015,3766344.82759
32,Clear Creek,1-01-2015,1,12583,2015,433896.551724
33,Denver,1-01-2015,1,423513,2015,14603896.5517
34,Eagle,1-01-2015,1,20375,2015,702586.206897
35,Garfield,1-01-2015,1,17304,2015,596689.655172
36,Gilpin,1-01-2015,1,3893,2015,134241.37931
37,Gunnison,1-01-2015,1,9075,2015,312931.034483
38,Jefferson,1-01-2015,1,48086,2015,1658137.93103
39,La Plata,1-01-2015,1,11858,2015,408896.551724
40,Larimer,1-01-2015,1,49274,2015,1699103.44828
41,Las Animas,1-01-2015,1,6424,2015,221517.241379
42,Pitkin,1-01-2015,1,23537,2015,811620.689655
43,Pueblo,1-01-2015,1,26366,2015,909172.413793
44,San Miguel,1-01-2015,1,11557,2015,398517.241379
45,Summit,1-01-2015,1,50009,2015,1724448.27586
46,Weld,1-01-2015,1,34889,2015,1203068.96552
47,Other Counties,1-01-2015,1,97711,2015,3369344.82759
48,Adams,1-01-2016,1,75954,2016,2619103.44828
49,Arapahoe,1-01-2016,1,169337,2016,5839206.89655
50,Archuletta,1-01-2016,1,12104,2016,417379.310345
51,Boulder,1-01-2016,1,141228,2016,4869931.03448
52,Chaffee,1-01-2016,1,9809,2016,338241.37931
53,Clear Creek,1-01-2016,1,17808,2016,614068.965517
54,Denver,1-01-2016,1,546434,2016,18842551.7241
55,Eagle,1-01-2016,1,34568,2016,1192000.0
56,Garfield,1-01-2016,1,20432,2016,704551.724138
57,Gilpin,1-01-2016,1,2602,2016,89724.137931
58,Grand,1-01-2016,1,8248,2016,284413.793103
59,Gunnison,1-01-2016,1,11923,2016,411137.931034
60,Jefferson,1-01-2016,1,83812,2016,2890068.96552
61,La Plata,1-01-2016,1,33211,2016,1145206.89655
62,Larimer,1-01-2016,1,76031,2016,2621758.62069
63,Las Animas,1-01-2016,1,25320,2016,873103.448276
64,Montezuma,1-01-2016,1,15259,2016,526172.413793
65,Park,1-01-2016,1,5691,2016,196241.37931
66,Pitkin,1-01-2016,1,22303,2016,769068.965517
67,Pueblo,1-01-2016,1,37624,2016,1297379.31034
68,Routt,1-01-2016,1,23169,2016,798931.034483
69,San Miguel,1-01-2016,1,8280,2016,285517.241379
70,Summit,1-01-2016,1,59410,2016,2048620.68966
71,Weld,1-01-2016,1,49478,2016,1706137.93103
72,Other Counties,1-01-2016,1,94078,2016,3244068.96552
73,Clear Creek,2-01-2014,2,12491,2014,430724.137931
74,Denver,2-01-2014,2,245709,2014,8472724.13793
75,Gilpin,2-01-2014,2,6833,2014,235620.689655
76,Jefferson,2-01-2014,2,24961,2014,860724.137931
77,Pueblo,2-01-2014,2,15262,2014,526275.862069
78,San Miguel,2-01-2014,2,5786,2014,199517.241379
79,Summit,2-01-2014,2,31584,2014,1089103.44828
80,Other Counties,2-01-2014,2,95627,2014,3297482.75862
81,Arapahoe,2-01-2015,2,62680,2015,2161379.31034
82,Boulder,2-01-2015,2,94149,2015,3246517.24138
83,Clear Creek,2-01-2015,2,13659,2015,471000.0
84,Denver,2-01-2015,2,451969,2015,15585137.931
85,Eagle,2-01-2015,2,21256,2015,732965.517241
86,Garfield,2-01-2015,2,14884,2015,513241.37931
87,Gilpin,2-01-2015,2,2853,2015,98379.3103448
88,Gunnison,2-01-2015,2,6597,2015,227482.758621
89,Jefferson,2-01-2015,2,67463,2015,2326310.34483
90,La Plata,2-01-2015,2,10605,2015,365689.655172
91,Larimer,2-01-2015,2,48469,2015,1671344.82759
92,Las Animas,2-01-2015,2,8210,2015,283103.448276
93,Montezuma,2-01-2015,2,5096,2015,175724.137931
94,Pitkin,2-01-2015,2,23430,2015,807931.034483
95,Pueblo,2-01-2015,2,23618,2015,814413.793103
96,San Miguel,2-01-2015,2,5963,2015,205620.689655
97,Summit,2-01-2015,2,51411,2015,1772793.10345
98,Weld,2-01-2015,2,36230,2015,1249310.34483
99,Other Counties,2-01-2015,2,150472,2015,5188689.65517
100,Adams,2-01-2016,2,87812,2016,3028000.0
101,Arapahoe,2-01-2016,2,194786,2016,6716758.62069
102,Boulder,2-01-2016,2,129140,2016,4453103.44828
103,Chaffee,2-01-2016,2,8278,2016,285448.275862
104,Clear Creek,2-01-2016,2,16839,2016,580655.172414
105,Conejos,2-01-2016,2,4639,2016,159965.517241
106,Costilla,2-01-2016,2,4627,2016,159551.724138
107,Denver,2-01-2016,2,569776,2016,19647448.2759
108,Eagle,2-01-2016,2,33338,2016,1149586.2069
109,Garfield,2-01-2016,2,21612,2016,745241.37931
110,Gilpin,2-01-2016,2,4060,2016,140000.0
111,Grand,2-01-2016,2,7975,2016,275000.0
112,Gunnison,2-01-2016,2,6715,2016,231551.724138
113,Jefferson,2-01-2016,2,87068,2016,3002344.82759
114,La Plata,2-01-2016,2,44645,2016,1539482.75862
115,Larimer,2-01-2016,2,69294,2016,2389448.27586
116,Las Animas,2-01-2016,2,2701,2016,93137.9310345
117,Montezuma,2-01-2016,2,17237,2016,594379.310345
118,Park,2-01-2016,2,5117,2016,176448.275862
119,Pitkin,2-01-2016,2,26688,2016,920275.862069
120,Pueblo,2-01-2016,2,36195,2016,1248103.44828
121,Routt,2-01-2016,2,22696,2016,782620.689655
122,San Miguel,2-01-2016,2,12861,2016,443482.758621
123,Summit,2-01-2016,2,73994,2016,2551517.24138
124,Weld,2-01-2016,2,54678,2016,1885448.27586
125,Other Counties,2-01-2016,2,89878,2016,3099241.37931
126,Boulder,3-01-2014,3,40136,2014,1384000.0
127,Clear Creek,3-01-2014,3,15972,2014,550758.62069
128,Denver,3-01-2014,3,295126,2014,10176758.6207
129,Gilpin,3-01-2014,3,3968,2014,136827.586207
130,Jefferson,3-01-2014,3,30120,2014,1038620.68966
131,Pueblo,3-01-2014,3,51330,2014,1770000.0
132,San Miguel,3-01-2014,3,9620,2014,331724.137931
133,Summit,3-01-2014,3,29054,2014,1001862.06897
134,Other Counties,3-01-2014,3,94179,2014,3247551.72414
135,Adams,3-01-2015,3,44220,2015,1524827.58621
136,Arapahoe,3-01-2015,3,67656,2015,2332965.51724
137,Boulder,3-01-2015,3,109336,2015,3770206.89655
138,Clear Creek,3-01-2015,3,12813,2015,441827.586207
139,Denver,3-01-2015,3,467578,2015,16123379.3103
140,Eagle,3-01-2015,3,24715,2015,852241.37931
141,Garfield,3-01-2015,3,18009,2015,621000.0
142,Gilpin,3-01-2015,3,2769,2015,95482.7586207
143,Gunnison,3-01-2015,3,7593,2015,261827.586207
144,Jefferson,3-01-2015,3,63009,2015,2172724.13793
145,La Plata,3-01-2015,3,25344,2015,873931.034483
146,Larimer,3-01-2015,3,55678,2015,1919931.03448
147,Las Animas,3-01-2015,3,11821,2015,407620.689655
148,Montezuma,3-01-2015,3,6468,2015,223034.482759
149,Park,3-01-2015,3,4137,2015,142655.172414
150,Pitkin,3-01-2015,3,24023,2015,828379.310345
151,Pueblo,3-01-2015,3,45710,2015,1576206.89655
152,Routt,3-01-2015,3,20381,2015,702793.103448
153,San Miguel,3-01-2015,3,11014,2015,379793.103448
154,Summit,3-01-2015,3,50715,2015,1748793.10345
155,Weld,3-01-2015,3,41189,2015,1420310.34483
156,Other Counties,3-01-2015,3,83728,2015,2887172.41379
157,Adams,3-01-2016,3,37034,2016,1277034.48276
158,Arapahoe,3-01-2016,3,163688,2016,5644413.7931
159,Boulder,3-01-2016,3,131661,2016,4540034.48276
160,Chaffee,3-01-2016,3,10012,2016,345241.37931
161,Clear Creek,3-01-2016,3,14678,2016,506137.931034
162,Conejos,3-01-2016,3,6067,2016,209206.896552
